time,boolout,realout,intout,stringout,boolin,realin,intin,stringin
0.1,false,0.0,0,bahamas,false,3.0,1,blahh
0.2,false,0.2,0,bahamas,false,3.0,1,blahh
0.30000000000000004,false,0.7000000000000001,0,bahamas,false,3.0,1,blahh
0.4,false,1.8000000000000003,0,bahamas,false,3.0,1,blahh
0.5,false,0.0,0,bahamas,false,3.0,1,blahh
0.6,false,0.0,0,bahamas,false,3.0,1,blahh
0.7,false,0.0,0,bahamas,false,3.0,1,blahh
0.7999999999999999,false,0.0,0,bahamas,false,3.0,1,blahh
0.8999999999999999,false,0.0,0,bahamas,false,3.0,1,blahh
0.9999999999999999,false,0.0,0,bahamas,false,3.0,1,blahh
1.0999999999999999,false,0.0,0,bahamas,false,3.0,1,blahh
1.2,false,0.0,0,bahamas,false,3.0,1,blahh
1.3,false,0.0,0,bahamas,false,3.0,1,blahh
1.4000000000000001,false,0.0,0,bahamas,false,3.0,1,blahh
1.5000000000000002,false,0.0,0,bahamas,false,3.0,1,blahh
1.6000000000000003,false,0.0,0,bahamas,false,3.0,1,blahh
1.7000000000000004,false,0.0,0,bahamas,false,3.0,1,blahh
1.8000000000000005,false,0.0,0,bahamas,false,3.0,1,blahh
1.9000000000000006,false,0.0,0,bahamas,false,3.0,1,blahh
2.0000000000000004,false,0.0,0,bahamas,false,3.0,1,blahh
2.1000000000000005,false,0.0,0,bahamas,false,3.0,1,blahh
2.2000000000000006,false,0.0,0,bahamas,false,3.0,1,blahh
2.3000000000000007,false,0.0,0,bahamas,false,3.0,1,blahh
2.400000000000001,false,0.0,0,bahamas,false,3.0,1,blahh
2.500000000000001,false,0.0,0,bahamas,false,3.0,1,blahh
2.600000000000001,false,0.0,0,bahamas,false,3.0,1,blahh
2.700000000000001,false,0.0,0,bahamas,false,3.0,1,blahh
2.800000000000001,false,0.0,0,bahamas,false,3.0,1,blahh
2.9000000000000012,false,0.0,0,bahamas,false,3.0,1,blahh
3.0000000000000013,false,0.0,0,bahamas,false,3.0,1,blahh
3.1000000000000014,false,0.0,0,bahamas,false,3.0,1,blahh
3.2000000000000015,false,0.0,0,bahamas,false,3.0,1,blahh
3.3000000000000016,false,0.0,0,bahamas,false,3.0,1,blahh
3.4000000000000017,false,0.0,0,bahamas,false,3.0,1,blahh
3.5000000000000018,false,0.0,0,bahamas,false,3.0,1,blahh
3.600000000000002,false,0.0,0,bahamas,false,3.0,1,blahh
3.700000000000002,false,0.0,0,bahamas,false,3.0,1,blahh
3.800000000000002,false,0.0,0,bahamas,false,3.0,1,blahh
3.900000000000002,false,0.0,0,bahamas,false,3.0,1,blahh
4.000000000000002,false,0.0,0,bahamas,false,3.0,1,blahh
